nombre,descripcion,tipo,caracteristicas,status,precio_noche,cant_bath,cant_hab,descuento,max_huespedes,pets,user_correo,latitud,longitud,direccion_completa,ciudad,provincia,pais,departamento,es_destino_turistico,estado_baja
Casa del Sol,Hermosa casa con vista al lago,Casa,"[""wifi"",""piscina"",""jardin"",""parrilla"",""estacionamiento""]",True,150.00,2,3,10.0,6,True,maria.lopez@example.com,-16.5000,-68.1500,"Av. Costanera 123, Zona Sur",La Paz,La Paz,Bolivia,La Paz,True,activa
Depto Centro,Moderno departamento en el centro de la ciudad,Departamento,"[""wifi"",""aire_acondicionado"",""cocina"",""tv"",""ascensor""]",True,80.00,1,2,0.0,4,False,maria.lopez@example.com,-16.4897,-68.1193,"Calle Comercio 456, Piso 5",La Paz,La Paz,Bolivia,La Paz,False,activa
Cabaña Montana,Acogedora cabaña en las montañas,Cabaña,"[""wifi"",""calefaccion"",""jardin"",""parrilla"",""terraza""]",True,120.00,1,2,15.0,4,True,juan.perez@example.com,-17.3935,-66.1570,"Camino Rural Km 5, Tunari",Cochabamba,Cercado,Bolivia,Cochabamba,True,activa
Villa Tropical,Espaciosa villa con piscina privada,Casa,"[""wifi"",""piscina"",""aire_acondicionado"",""jardin"",""parrilla"",""vigilancia""]",True,250.00,3,5,20.0,10,True,juan.perez@example.com,-17.7833,-63.1821,"Av. Roca y Coronado 789",Santa Cruz,Andrés Ibáñez,Bolivia,Santa Cruz,True,activa
Loft Moderno,Loft estilo industrial con amenidades,Departamento,"[""wifi"",""aire_acondicionado"",""cocina"",""tv"",""lavadora"",""estacionamiento""]",True,100.00,1,1,5.0,2,False,ana.garcia@example.com,-16.5000,-68.1300,"Zona Sopocachi, Calle 20 de Octubre",La Paz,La Paz,Bolivia,La Paz,False,activa
Casa Familiar,Amplia casa ideal para familias,Casa,"[""wifi"",""jardin"",""parrilla"",""estacionamiento"",""cocina""]",True,180.00,2,4,10.0,8,True,ana.garcia@example.com,-17.3895,-66.1568,"Av. América 234",Cochabamba,Cercado,Bolivia,Cochabamba,False,activa
Depto Playa,Departamento frente al mar,Departamento,"[""wifi"",""aire_acondicionado"",""piscina"",""terraza""]",True,200.00,2,3,0.0,6,False,maria.lopez@example.com,-14.8349,-64.9031,"Zona Turística, Copacabana 567",Copacabana,Manco Kapac,Bolivia,La Paz,True,activa
Refugio Andino,Cabaña rústica con vista panorámica,Cabaña,"[""calefaccion"",""jardin"",""parrilla"",""terraza""]",True,90.00,1,2,0.0,4,True,juan.perez@example.com,-16.2902,-63.5887,"Valle de Zongo, Km 15",La Paz,Murillo,Bolivia,La Paz,True,activa
Penthouse Lujo,Penthouse de lujo con todas las comodidades,Departamento,"[""wifi"",""aire_acondicionado"",""piscina"",""ascensor"",""vigilancia"",""caja_fuerte""]",True,350.00,3,4,15.0,8,False,ana.garcia@example.com,-17.7833,-63.1821,"Av. San Martín 890, Piso 15",Santa Cruz,Andrés Ibáñez,Bolivia,Santa Cruz,False,activa
Casa Colonial,Encantadora casa colonial restaurada,Casa,"[""wifi"",""jardin"",""parrilla"",""terraza"",""cocina""]",True,140.00,2,3,10.0,6,True,maria.lopez@example.com,-19.0448,-65.2619,"Calle Sucre 321, Centro Histórico",Potosí,Tomás Frías,Bolivia,Potosí,True,activa
